Date,GT_SearchIndex
"Apr 26 – May 2, 2015",51
"May 3 – 9, 2015",100
"May 10 – 16, 2015",84
"May 17 – 23, 2015",49
"May 24 – 30, 2015",45
"May 31 – Jun 6, 2015",22
"Jun 7 – 13, 2015",22
"Jun 14 – 20, 2015",22
"Jun 21 – 27, 2015",11
"Jun 28 – Jul 4, 2015",34
"Jul 5 – 11, 2015",22
"Jul 12 – 18, 2015",17
"Jul 19 – 25, 2015",0
"Jul 26 – Aug 1, 2015",16
"Aug 2 – 8, 2015",11
"Aug 9 – 15, 2015",16
"Aug 16 – 22, 2015",11
"Aug 23 – 29, 2015",11
"Aug 30 – Sep 5, 2015",16
"Sep 6 – 12, 2015",0
"Sep 13 – 19, 2015",10
"Sep 20 – 26, 2015",10
"Sep 27 – Oct 3, 2015",10
"Oct 4 – 10, 2015",20
"Oct 11 – 17, 2015",0
"Oct 18 – 24, 2015",10
"Oct 25 – 31, 2015",29
"Nov 1 – 7, 2015",10
"Nov 8 – 14, 2015",20
"Nov 15 – 21, 2015",10
"Nov 22 – 28, 2015",11
"Nov 29 – Dec 5, 2015",14
"Dec 6 – 12, 2015",10
"Dec 13 – 19, 2015",10
"Dec 20 – 26, 2015",12
"Dec 27, 2015 – Jan 2, 2016",11
"Jan 3 – 9, 2016",25
"Jan 10 – 16, 2016",0
"Jan 17 – 23, 2016",16
"Jan 24 – 30, 2016",12
"Jan 31 – Feb 6, 2016",16
"Feb 7 – 13, 2016",8
"Feb 14 – 20, 2016",12
"Feb 21 – 27, 2016",8
"Feb 28 – Mar 5, 2016",8
"Mar 6 – 12, 2016",8
"Mar 13 – 19, 2016",8
"Mar 20 – 26, 2016",0
"Mar 27 – Apr 2, 2016",8
"Apr 3 – 9, 2016",8
"Apr 10 – 16, 2016",16
"Apr 17 – 23, 2016",8
"Apr 24 – 30, 2016",12
"May 1 – 7, 2016",8
"May 8 – 14, 2016",0
