Date,GT_SearchIndex
"Jun 15 – 21, 2014",42
"Jun 22 – 28, 2014",42
"Jun 29 – Jul 5, 2014",41
"Jul 6 – 12, 2014",88
"Jul 13 – 19, 2014",54
"Jul 20 – 26, 2014",44
"Jul 27 – Aug 2, 2014",43
"Aug 3 – 9, 2014",41
"Aug 10 – 16, 2014",41
"Aug 17 – 23, 2014",45
"Aug 24 – 30, 2014",51
"Aug 31 – Sep 6, 2014",59
"Sep 7 – 13, 2014",48
"Sep 14 – 20, 2014",56
"Sep 21 – 27, 2014",53
"Sep 28 – Oct 4, 2014",51
"Oct 5 – 11, 2014",49
"Oct 12 – 18, 2014",57
"Oct 19 – 25, 2014",54
"Oct 26 – Nov 1, 2014",55
"Nov 2 – 8, 2014",56
"Nov 9 – 15, 2014",52
"Nov 16 – 22, 2014",51
"Nov 23 – 29, 2014",45
"Nov 30 – Dec 6, 2014",58
"Dec 7 – 13, 2014",59
"Dec 14 – 20, 2014",54
"Dec 21 – 27, 2014",35
"Dec 28, 2014 – Jan 3, 2015",46
"Jan 4 – 10, 2015",53
"Jan 11 – 17, 2015",52
"Jan 18 – 24, 2015",51
"Jan 25 – 31, 2015",49
"Feb 1 – 7, 2015",50
"Feb 8 – 14, 2015",54
"Feb 15 – 21, 2015",47
"Feb 22 – 28, 2015",54
"Mar 1 – 7, 2015",57
"Mar 8 – 14, 2015",60
"Mar 15 – 21, 2015",50
"Mar 22 – 28, 2015",51
"Mar 29 – Apr 4, 2015",49
"Apr 5 – 11, 2015",44
"Apr 12 – 18, 2015",51
"Apr 19 – 25, 2015",61
"Apr 26 – May 2, 2015",53
"May 3 – 9, 2015",58
"May 10 – 16, 2015",61
"May 17 – 23, 2015",57
"May 24 – 30, 2015",55
"May 31 – Jun 6, 2015",46
"Jun 7 – 13, 2015",53
"Jun 14 – 20, 2015",44
"Jun 21 – 27, 2015",43
"Jun 28 – Jul 4, 2015",41
"Jul 5 – 11, 2015",46
"Jul 12 – 18, 2015",42
"Jul 19 – 25, 2015",49
"Jul 26 – Aug 1, 2015",41
"Aug 2 – 8, 2015",48
"Aug 9 – 15, 2015",39
"Aug 16 – 22, 2015",43
"Aug 23 – 29, 2015",52
"Aug 30 – Sep 5, 2015",53
"Sep 6 – 12, 2015",53
"Sep 13 – 19, 2015",56
"Sep 20 – 26, 2015",59
"Sep 27 – Oct 3, 2015",48
"Oct 4 – 10, 2015",48
"Oct 11 – 17, 2015",46
"Oct 18 – 24, 2015",46
"Oct 25 – 31, 2015",55
"Nov 1 – 7, 2015",53
"Nov 8 – 14, 2015",48
"Nov 15 – 21, 2015",57
"Nov 22 – 28, 2015",49
"Nov 29 – Dec 5, 2015",51
"Dec 6 – 12, 2015",54
"Dec 13 – 19, 2015",54
"Dec 20 – 26, 2015",40
"Dec 27, 2015 – Jan 2, 2016",40
"Jan 3 – 9, 2016",46
"Jan 10 – 16, 2016",46
"Jan 17 – 23, 2016",46
"Jan 24 – 30, 2016",51
"Jan 31 – Feb 6, 2016",45
"Feb 7 – 13, 2016",51
"Feb 14 – 20, 2016",46
"Feb 21 – 27, 2016",52
"Feb 28 – Mar 5, 2016",53
"Mar 6 – 12, 2016",56
"Mar 13 – 19, 2016",49
"Mar 20 – 26, 2016",50
"Mar 27 – Apr 2, 2016",46
"Apr 3 – 9, 2016",57
"Apr 10 – 16, 2016",78
"Apr 17 – 23, 2016",66
"Apr 24 – 30, 2016",70
"May 1 – 7, 2016",96
"May 8 – 14, 2016",100
