Date,GT_SearchIndex
"Jan 1, 2016",0
"Jan 2, 2016",26
"Jan 3, 2016",51
"Jan 4, 2016",22
"Jan 5, 2016",22
"Jan 6, 2016",22
"Jan 7, 2016",22
"Jan 8, 2016",22
"Jan 9, 2016",25
"Jan 10, 2016",23
"Jan 11, 2016",21
"Jan 12, 2016",21
"Jan 13, 2016",64
"Jan 14, 2016",81
"Jan 15, 2016",0
"Jan 16, 2016",76
"Jan 17, 2016",25
"Jan 18, 2016",23
"Jan 19, 2016",32
"Jan 20, 2016",21
"Jan 21, 2016",21
"Jan 22, 2016",22
"Jan 23, 2016",100
"Jan 24, 2016",25
"Jan 25, 2016",0
"Jan 26, 2016",42
"Jan 27, 2016",21
"Jan 28, 2016",43
"Jan 29, 2016",0
"Jan 30, 2016",0
"Jan 31, 2016",50
"Feb 1, 2016",0
"Feb 2, 2016",21
"Feb 3, 2016",0
"Feb 4, 2016",21
"Feb 5, 2016",0
"Feb 6, 2016",0
"Feb 7, 2016",0
"Feb 8, 2016",0
"Feb 9, 2016",21
"Feb 10, 2016",0
"Feb 11, 2016",21
"Feb 12, 2016",21
"Feb 13, 2016",0
"Feb 14, 2016",25
"Feb 15, 2016",22
"Feb 16, 2016",0
"Feb 17, 2016",0
"Feb 18, 2016",21
"Feb 19, 2016",0
"Feb 20, 2016",25
"Feb 21, 2016",0
"Feb 22, 2016",20
"Feb 23, 2016",0
"Feb 24, 2016",0
"Feb 25, 2016",0
"Feb 26, 2016",0
"Feb 27, 2016",25
"Feb 28, 2016",0
"Feb 29, 2016",40
"Mar 1, 2016",0
"Mar 2, 2016",0
"Mar 3, 2016",0
"Mar 4, 2016",0
"Mar 5, 2016",0
"Mar 6, 2016",0
"Mar 7, 2016",0
"Mar 8, 2016",0
"Mar 9, 2016",0
"Mar 10, 2016",21
"Mar 11, 2016",0
"Mar 12, 2016",0
"Mar 13, 2016",0
"Mar 14, 2016",0
"Mar 15, 2016",0
"Mar 16, 2016",21
"Mar 17, 2016",0
"Mar 18, 2016",0
"Mar 19, 2016",0
"Mar 20, 2016",0
"Mar 21, 2016",0
"Mar 22, 2016",0
"Mar 23, 2016",21
"Mar 24, 2016",0
"Mar 25, 2016",0
"Mar 26, 2016",0
"Mar 27, 2016",0
"Mar 28, 2016",0
"Mar 29, 2016",0
"Mar 30, 2016",0
"Mar 31, 2016",21
