Date,GT_SearchIndex
"Mar 6, 2009",0
"Mar 7, 2009",0
"Mar 8, 2009",0
"Mar 9, 2009",0
"Mar 10, 2009",57
"Mar 11, 2009",0
"Mar 12, 2009",0
"Mar 13, 2009",62
"Mar 14, 2009",0
"Mar 15, 2009",0
"Mar 16, 2009",0
"Mar 17, 2009",59
"Mar 18, 2009",0
"Mar 19, 2009",0
"Mar 20, 2009",0
"Mar 21, 2009",0
"Mar 22, 2009",88
"Mar 23, 2009",0
"Mar 24, 2009",0
"Mar 25, 2009",57
"Mar 26, 2009",0
"Mar 27, 2009",61
"Mar 28, 2009",0
"Mar 29, 2009",0
"Mar 30, 2009",57
"Mar 31, 2009",0
"Apr 1, 2009",0
"Apr 2, 2009",59
"Apr 3, 2009",0
"Apr 4, 2009",0
"Apr 5, 2009",0
"Apr 6, 2009",0
"Apr 7, 2009",0
"Apr 8, 2009",0
"Apr 9, 2009",0
"Apr 10, 2009",0
"Apr 11, 2009",0
"Apr 12, 2009",0
"Apr 13, 2009",0
"Apr 14, 2009",0
"Apr 15, 2009",56
"Apr 16, 2009",0
"Apr 17, 2009",0
"Apr 18, 2009",0
"Apr 19, 2009",0
"Apr 20, 2009",0
"Apr 21, 2009",0
"Apr 22, 2009",0
"Apr 23, 2009",59
"Apr 24, 2009",0
"Apr 25, 2009",0
"Apr 26, 2009",0
"Apr 27, 2009",0
"Apr 28, 2009",56
"Apr 29, 2009",0
"Apr 30, 2009",57
"May 1, 2009",0
"May 2, 2009",0
"May 3, 2009",87
"May 4, 2009",0
"May 5, 2009",55
"May 6, 2009",0
"May 7, 2009",57
"May 8, 2009",0
"May 9, 2009",0
"May 10, 2009",0
"May 11, 2009",0
"May 12, 2009",0
"May 13, 2009",0
"May 14, 2009",0
"May 15, 2009",62
"May 16, 2009",0
"May 17, 2009",0
"May 18, 2009",0
"May 19, 2009",56
"May 20, 2009",0
"May 21, 2009",0
"May 22, 2009",65
"May 23, 2009",0
"May 24, 2009",100
"May 25, 2009",0
"May 26, 2009",0
"May 27, 2009",0
"May 28, 2009",57
"May 29, 2009",0
"May 30, 2009",0
"May 31, 2009",0
"Jun 1, 2009",58
"Jun 2, 2009",58
"Jun 3, 2009",0
"Jun 4, 2009",0
