Date,GT_SearchIndex
"Aug 19, 2011",44
"Aug 20, 2011",53
"Aug 21, 2011",54
"Aug 22, 2011",84
"Aug 23, 2011",41
"Aug 24, 2011",0
"Aug 25, 2011",41
"Aug 26, 2011",0
"Aug 27, 2011",0
"Aug 28, 2011",0
"Aug 29, 2011",0
"Aug 30, 2011",41
"Aug 31, 2011",0
"Sep 1, 2011",41
"Sep 2, 2011",0
"Sep 3, 2011",0
"Sep 4, 2011",54
"Sep 5, 2011",72
"Sep 6, 2011",0
"Sep 7, 2011",40
"Sep 8, 2011",40
"Sep 9, 2011",0
"Sep 10, 2011",0
"Sep 11, 2011",0
"Sep 12, 2011",0
"Sep 13, 2011",0
"Sep 14, 2011",0
"Sep 15, 2011",40
"Sep 16, 2011",0
"Sep 17, 2011",0
"Sep 18, 2011",0
"Sep 19, 2011",0
"Sep 20, 2011",39
"Sep 21, 2011",0
"Sep 22, 2011",39
"Sep 23, 2011",0
"Sep 24, 2011",0
"Sep 25, 2011",0
"Sep 26, 2011",39
"Sep 27, 2011",0
"Sep 28, 2011",39
"Sep 29, 2011",0
"Sep 30, 2011",42
"Oct 1, 2011",0
"Oct 2, 2011",0
"Oct 3, 2011",0
"Oct 4, 2011",0
"Oct 5, 2011",0
"Oct 6, 2011",39
"Oct 7, 2011",41
"Oct 8, 2011",0
"Oct 9, 2011",49
"Oct 10, 2011",40
"Oct 11, 2011",36
"Oct 12, 2011",0
"Oct 13, 2011",39
"Oct 14, 2011",0
"Oct 15, 2011",100
"Oct 16, 2011",0
"Oct 17, 2011",38
"Oct 18, 2011",0
"Oct 19, 2011",38
"Oct 20, 2011",0
"Oct 21, 2011",42
"Oct 22, 2011",0
"Oct 23, 2011",74
"Oct 24, 2011",0
"Oct 25, 2011",38
"Oct 26, 2011",0
"Oct 27, 2011",0
"Oct 28, 2011",0
"Oct 29, 2011",49
"Oct 30, 2011",0
"Oct 31, 2011",0
"Nov 1, 2011",0
"Nov 2, 2011",38
"Nov 3, 2011",0
"Nov 4, 2011",0
"Nov 5, 2011",48
"Nov 6, 2011",0
"Nov 7, 2011",0
"Nov 8, 2011",0
"Nov 9, 2011",0
"Nov 10, 2011",0
"Nov 11, 2011",40
"Nov 12, 2011",0
"Nov 13, 2011",0
"Nov 14, 2011",75
"Nov 15, 2011",0
"Nov 16, 2011",0
"Nov 17, 2011",0
