Date,GT_SearchIndex
"Jan 11, 2010",0
"Jan 12, 2010",15
"Jan 13, 2010",15
"Jan 14, 2010",31
"Jan 15, 2010",0
"Jan 16, 2010",23
"Jan 17, 2010",0
"Jan 18, 2010",17
"Jan 19, 2010",0
"Jan 20, 2010",15
"Jan 21, 2010",15
"Jan 22, 2010",0
"Jan 23, 2010",0
"Jan 24, 2010",0
"Jan 25, 2010",0
"Jan 26, 2010",15
"Jan 27, 2010",0
"Jan 28, 2010",0
"Jan 29, 2010",16
"Jan 30, 2010",0
"Jan 31, 2010",0
"Feb 1, 2010",0
"Feb 2, 2010",0
"Feb 3, 2010",15
"Feb 4, 2010",0
"Feb 5, 2010",16
"Feb 6, 2010",21
"Feb 7, 2010",22
"Feb 8, 2010",0
"Feb 9, 2010",14
"Feb 10, 2010",22
"Feb 11, 2010",0
"Feb 12, 2010",0
"Feb 13, 2010",0
"Feb 14, 2010",23
"Feb 15, 2010",17
"Feb 16, 2010",0
"Feb 17, 2010",0
"Feb 18, 2010",0
"Feb 19, 2010",16
"Feb 20, 2010",0
"Feb 21, 2010",0
"Feb 22, 2010",15
"Feb 23, 2010",0
"Feb 24, 2010",15
"Feb 25, 2010",15
"Feb 26, 2010",0
"Feb 27, 2010",0
"Feb 28, 2010",0
"Mar 1, 2010",0
"Mar 2, 2010",0
"Mar 3, 2010",0
"Mar 4, 2010",0
"Mar 5, 2010",0
"Mar 6, 2010",0
"Mar 7, 2010",23
"Mar 8, 2010",0
"Mar 9, 2010",0
"Mar 10, 2010",0
"Mar 11, 2010",15
"Mar 12, 2010",16
"Mar 13, 2010",0
"Mar 14, 2010",0
"Mar 15, 2010",0
"Mar 16, 2010",0
"Mar 17, 2010",0
"Mar 18, 2010",16
"Mar 19, 2010",16
"Mar 20, 2010",46
"Mar 21, 2010",0
"Mar 22, 2010",0
"Mar 23, 2010",0
"Mar 24, 2010",0
"Mar 25, 2010",0
"Mar 26, 2010",0
"Mar 27, 2010",23
"Mar 28, 2010",0
"Mar 29, 2010",15
"Mar 30, 2010",15
"Mar 31, 2010",15
"Apr 1, 2010",0
"Apr 2, 2010",19
"Apr 3, 2010",0
"Apr 4, 2010",0
"Apr 5, 2010",15
"Apr 6, 2010",0
"Apr 7, 2010",15
"Apr 8, 2010",15
"Apr 9, 2010",16
"Apr 10, 2010",23
"Apr 11, 2010",23
"Apr 12, 2010",0
"Apr 13, 2010",0
"Apr 14, 2010",0
"Apr 15, 2010",0
"Apr 16, 2010",16
"Apr 17, 2010",0
"Apr 18, 2010",0
"Apr 19, 2010",15
"Apr 20, 2010",0
"Apr 21, 2010",15
"Apr 22, 2010",0
"Apr 23, 2010",0
"Apr 24, 2010",0
"Apr 25, 2010",0
"Apr 26, 2010",14
"Apr 27, 2010",0
"Apr 28, 2010",0
"Apr 29, 2010",0
"Apr 30, 2010",0
"May 1, 2010",0
"May 2, 2010",0
"May 3, 2010",15
"May 4, 2010",0
"May 5, 2010",0
"May 6, 2010",0
"May 7, 2010",0
"May 8, 2010",0
"May 9, 2010",0
"May 10, 2010",15
"May 11, 2010",0
"May 12, 2010",15
"May 13, 2010",0
"May 14, 2010",0
"May 15, 2010",24
"May 16, 2010",0
"May 17, 2010",0
"May 18, 2010",15
