Date,GT_SearchIndex
"Aug 19, 2011",0
"Aug 20, 2011",66
"Aug 21, 2011",0
"Aug 22, 2011",0
"Aug 23, 2011",0
"Aug 24, 2011",52
"Aug 25, 2011",0
"Aug 26, 2011",0
"Aug 27, 2011",0
"Aug 28, 2011",0
"Aug 29, 2011",0
"Aug 30, 2011",0
"Aug 31, 2011",51
"Sep 1, 2011",51
"Sep 2, 2011",0
"Sep 3, 2011",0
"Sep 4, 2011",67
"Sep 5, 2011",0
"Sep 6, 2011",0
"Sep 7, 2011",49
"Sep 8, 2011",50
"Sep 9, 2011",52
"Sep 10, 2011",0
"Sep 11, 2011",0
"Sep 12, 2011",49
"Sep 13, 2011",0
"Sep 14, 2011",97
"Sep 15, 2011",49
"Sep 16, 2011",0
"Sep 17, 2011",0
"Sep 18, 2011",61
"Sep 19, 2011",48
"Sep 20, 2011",0
"Sep 21, 2011",49
"Sep 22, 2011",0
"Sep 23, 2011",0
"Sep 24, 2011",0
"Sep 25, 2011",61
"Sep 26, 2011",0
"Sep 27, 2011",0
"Sep 28, 2011",0
"Sep 29, 2011",49
"Sep 30, 2011",0
"Oct 1, 2011",0
"Oct 2, 2011",0
"Oct 3, 2011",0
"Oct 4, 2011",0
"Oct 5, 2011",0
"Oct 6, 2011",0
"Oct 7, 2011",0
"Oct 8, 2011",63
"Oct 9, 2011",0
"Oct 10, 2011",0
"Oct 11, 2011",45
"Oct 12, 2011",0
"Oct 13, 2011",48
"Oct 14, 2011",0
"Oct 15, 2011",0
"Oct 16, 2011",0
"Oct 17, 2011",0
"Oct 18, 2011",0
"Oct 19, 2011",47
"Oct 20, 2011",0
"Oct 21, 2011",51
"Oct 22, 2011",0
"Oct 23, 2011",0
"Oct 24, 2011",0
"Oct 25, 2011",0
"Oct 26, 2011",47
"Oct 27, 2011",0
"Oct 28, 2011",100
"Oct 29, 2011",0
"Oct 30, 2011",0
"Oct 31, 2011",0
"Nov 1, 2011",0
"Nov 2, 2011",0
"Nov 3, 2011",0
"Nov 4, 2011",0
"Nov 5, 2011",0
"Nov 6, 2011",0
"Nov 7, 2011",0
"Nov 8, 2011",0
