Date,GT_SearchIndex
"Jun 6, 2014",0
"Jun 7, 2014",85
"Jun 8, 2014",0
"Jun 9, 2014",0
"Jun 10, 2014",0
"Jun 11, 2014",65
"Jun 12, 2014",66
"Jun 13, 2014",0
"Jun 14, 2014",0
"Jun 15, 2014",0
"Jun 16, 2014",66
"Jun 17, 2014",66
"Jun 18, 2014",0
"Jun 19, 2014",0
"Jun 20, 2014",69
"Jun 21, 2014",84
"Jun 22, 2014",86
"Jun 23, 2014",0
"Jun 24, 2014",65
"Jun 25, 2014",0
"Jun 26, 2014",0
"Jun 27, 2014",0
"Jun 28, 2014",0
"Jun 29, 2014",0
"Jun 30, 2014",0
"Jul 1, 2014",66
"Jul 2, 2014",0
"Jul 3, 2014",0
"Jul 4, 2014",85
"Jul 5, 2014",0
"Jul 6, 2014",0
"Jul 7, 2014",0
"Jul 8, 2014",0
"Jul 9, 2014",0
"Jul 10, 2014",0
"Jul 11, 2014",0
"Jul 12, 2014",82
"Jul 13, 2014",0
"Jul 14, 2014",0
"Jul 15, 2014",65
"Jul 16, 2014",66
"Jul 17, 2014",0
"Jul 18, 2014",0
"Jul 19, 2014",0
"Jul 20, 2014",0
"Jul 21, 2014",0
"Jul 22, 2014",0
"Jul 23, 2014",0
"Jul 24, 2014",66
"Jul 25, 2014",0
"Jul 26, 2014",0
"Jul 27, 2014",0
"Jul 28, 2014",66
"Jul 29, 2014",0
"Jul 30, 2014",0
"Jul 31, 2014",0
"Aug 1, 2014",0
"Aug 2, 2014",0
"Aug 3, 2014",0
"Aug 4, 2014",0
"Aug 5, 2014",65
"Aug 6, 2014",66
"Aug 7, 2014",100
"Aug 8, 2014",70
"Aug 9, 2014",0
"Aug 10, 2014",0
"Aug 11, 2014",0
"Aug 12, 2014",0
"Aug 13, 2014",0
"Aug 14, 2014",0
"Aug 15, 2014",0
"Aug 16, 2014",82
"Aug 17, 2014",0
"Aug 18, 2014",65
"Aug 19, 2014",0
"Aug 20, 2014",0
"Aug 21, 2014",65
"Aug 22, 2014",67
"Aug 23, 2014",0
"Aug 24, 2014",0
"Aug 25, 2014",64
"Aug 26, 2014",0
"Aug 27, 2014",0
"Aug 28, 2014",0
"Aug 29, 2014",66
"Aug 30, 2014",0
"Aug 31, 2014",0
"Sep 1, 2014",0
"Sep 2, 2014",0
"Sep 3, 2014",0
"Sep 4, 2014",61
